id,uatu:date,smartbi:customer,smartbi:product_code,smartbi:product_name,smartbi:product_family,smartbi:sold_quant,smartbi:sold_price,smartbi:unit_cost,smartbi:product_category,smartbi:provider,smartbi:delivery_country,smartbi:delivery_address,smartbi:delivery_street,smartbi:delivery_city,smartbi:delivery_pc,smartbi:delivery_region
1,01/01/2020,Cliente Y,A101,Prodotto 1,Famiglia A1,25,100.0,80.0,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Trento,Trento,Trentino-Alto Adige
2,02/01/2020,Cliente X,A101,Prodotto 1,Famiglia A1,27,99.5,79.5,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Aosta,Aosta,Valle d'Aosta
3,02/01/2020,Cliente X,A101,Prodotto 1,Famiglia A1,29,99.0,79.0,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Varese,Varese,Lombardia
4,02/01/2020,Cliente Y,A101,Prodotto 1,Famiglia A1,31,98.5,78.5,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Vibo Valentia,Vibo Valentia,Calabria
5,07/01/2020,Cliente Y,A101,Prodotto 1,Famiglia A1,33,98.0,78.0,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Terni,Terni,Umbria
6,07/01/2020,Cliente Y,A101,Prodotto 1,Famiglia A1,35,97.5,77.5,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Terni,Terni,Umbria
7,09/01/2020,Cliente X,A101,Prodotto 1,Famiglia A1,37,97.0,77.0,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Viterbo,Viterbo,Lazio
8,09/01/2020,Cliente W,A101,Prodotto 1,Famiglia A1,39,96.5,76.5,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Vicenza,Vicenza,Veneto
9,10/01/2020,Cliente W,A101,Prodotto 1,Famiglia A1,41,97.0,76.0,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Viterbo,Viterbo,Lazio
10,13/01/2020,Cliente Z,A101,Prodotto 1,Famiglia A1,43,97.5,75.5,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Terni,Terni,Umbria
11,15/01/2020,Cliente W,A101,Prodotto 1,Famiglia A1,45,98.0,75.0,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Udine,Udine,Friuli Venezia Giulia
12,15/01/2020,Cliente W,A101,Prodotto 1,Famiglia A1,47,98.5,74.5,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Varese,Varese,Lombardia
13,16/01/2020,Cliente X,A101,Prodotto 1,Famiglia A1,49,99.0,74.0,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Vicenza,Vicenza,Veneto
14,16/01/2020,Cliente Z,A101,Prodotto 1,Famiglia A1,51,99.5,73.5,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Pesaro e Urbino,Pesaro e Urbino,Marche
15,16/01/2020,Cliente Z,A101,Prodotto 1,Famiglia A1,53,100.0,73.0,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Isernia,Isernia,Molise
16,17/01/2020,Cliente Y,A101,Prodotto 1,Famiglia A1,55,100.5,72.5,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Pesaro e Urbino,Pesaro e Urbino,Marche
17,20/01/2020,Cliente Y,A101,Prodotto 1,Famiglia A1,57,101.0,72.0,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Terni,Terni,Umbria
18,20/01/2020,Cliente Y,A101,Prodotto 1,Famiglia A1,59,101.5,71.5,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Taranto,Taranto,Puglia
19,21/01/2020,Cliente Z,A101,Prodotto 1,Famiglia A1,61,102.0,71.0,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Savona,Savona,Liguria
20,21/01/2020,Cliente Z,A101,Prodotto 1,Famiglia A1,63,102.5,71.5,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Taranto,Taranto,Puglia
21,22/01/2020,Cliente Y,A101,Prodotto 1,Famiglia A1,65,90.0,72.0,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Taranto,Taranto,Puglia
22,22/01/2020,Cliente Y,A101,Prodotto 1,Famiglia A1,67,89.5,72.5,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Aosta,Aosta,Valle d'Aosta
23,22/01/2020,Cliente Y,A101,Prodotto 1,Famiglia A1,69,89.0,73.0,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Isernia,Isernia,Molise
24,24/01/2020,Cliente Y,A101,Prodotto 1,Famiglia A1,71,88.5,73.5,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Sud Sardegna,Sud Sardegna,Sardegna
25,29/01/2020,Cliente X,A101,Prodotto 1,Famiglia A1,73,88.0,74.0,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Savona,Savona,Liguria
26,29/01/2020,Cliente Y,A101,Prodotto 1,Famiglia A1,75,87.5,74.5,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Rimini,Rimini,Emilia-Romagna
27,31/01/2020,Cliente W,A101,Prodotto 1,Famiglia A1,77,87.0,75.0,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Udine,Udine,Friuli Venezia Giulia
28,04/02/2020,Cliente W,A101,Prodotto 1,Famiglia A1,79,86.5,75.5,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Siena,Siena,Toscana
29,05/02/2020,Cliente Y,A101,Prodotto 1,Famiglia A1,81,86.0,76.0,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Potenza,Potenza,Basilicata
30,17/02/2020,Cliente Z,A101,Prodotto 1,Famiglia A1,83,85.5,76.5,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Udine,Udine,Friuli Venezia Giulia
31,17/02/2020,Cliente W,A101,Prodotto 1,Famiglia A1,85,85.0,77.0,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Sud Sardegna,Sud Sardegna,Sardegna
32,21/02/2020,Cliente X,A101,Prodotto 1,Famiglia A1,87,84.5,77.5,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Isernia,Isernia,Molise
